Protein_Name;Fraction1_Ctrl_Rep1;Fraction1_RNase_Rep1;Fraction1_Ctrl_Rep2;Fraction1_RNase_Rep2;Fraction1_Ctrl_Rep3;Fraction1_RNase_Rep3;Fraction2_Ctrl_Rep1;Fraction2_RNase_Rep1;Fraction2_Ctrl_Rep2;Fraction2_RNase_Rep2;Fraction2_Ctrl_Rep3;Fraction2_RNase_Rep3;Fraction3_Ctrl_Rep1;Fraction3_RNase_Rep1;Fraction3_Ctrl_Rep2;Fraction3_RNase_Rep2;Fraction3_Ctrl_Rep3;Fraction3_RNase_Rep3;Fraction4_Ctrl_Rep1;Fraction4_RNase_Rep1;Fraction4_Ctrl_Rep2;Fraction4_RNase_Rep2;Fraction4_Ctrl_Rep3;Fraction4_RNase_Rep3;Fraction5_Ctrl_Rep1;Fraction5_RNase_Rep1;Fraction5_Ctrl_Rep2;Fraction5_RNase_Rep2;Fraction5_Ctrl_Rep3;Fraction5_RNase_Rep3;Fraction6_Ctrl_Rep1;Fraction6_RNase_Rep1;Fraction6_Ctrl_Rep2;Fraction6_RNase_Rep2;Fraction6_Ctrl_Rep3;Fraction6_RNase_Rep3;Fraction7_Ctrl_Rep1;Fraction7_RNase_Rep1;Fraction7_Ctrl_Rep2;Fraction7_RNase_Rep2;Fraction7_Ctrl_Rep3;Fraction7_RNase_Rep3;Fraction8_Ctrl_Rep1;Fraction8_RNase_Rep1;Fraction8_Ctrl_Rep2;Fraction8_RNase_Rep2;Fraction8_Ctrl_Rep3;Fraction8_RNase_Rep3;Fraction9_Ctrl_Rep1;Fraction9_RNase_Rep1;Fraction9_Ctrl_Rep2;Fraction9_RNase_Rep2;Fraction9_Ctrl_Rep3;Fraction9_RNase_Rep3;Fraction10_Ctrl_Rep1;Fraction10_RNase_Rep1;Fraction10_Ctrl_Rep2;Fraction10_RNase_Rep2;Fraction10_Ctrl_Rep3;Fraction10_RNase_Rep3;Fraction11_Ctrl_Rep1;Fraction11_RNase_Rep1;Fraction11_Ctrl_Rep2;Fraction11_RNase_Rep2;Fraction11_Ctrl_Rep3;Fraction11_RNase_Rep3;Fraction12_Ctrl_Rep1;Fraction12_RNase_Rep1;Fraction12_Ctrl_Rep2;Fraction12_RNase_Rep2;Fraction12_Ctrl_Rep3;Fraction12_RNase_Rep3;Fraction13_Ctrl_Rep1;Fraction13_RNase_Rep1;Fraction13_Ctrl_Rep2;Fraction13_RNase_Rep2;Fraction13_Ctrl_Rep3;Fraction13_RNase_Rep3;Fraction14_Ctrl_Rep1;Fraction14_RNase_Rep1;Fraction14_Ctrl_Rep2;Fraction14_RNase_Rep2;Fraction14_Ctrl_Rep3;Fraction14_RNase_Rep3;Fraction15_Ctrl_Rep1;Fraction15_RNase_Rep1;Fraction15_Ctrl_Rep2;Fraction15_RNase_Rep2;Fraction15_Ctrl_Rep3;Fraction15_RNase_Rep3;Fraction16_Ctrl_Rep1;Fraction16_RNase_Rep1;Fraction16_Ctrl_Rep2;Fraction16_RNase_Rep2;Fraction16_Ctrl_Rep3;Fraction16_RNase_Rep3;Fraction17_Ctrl_Rep1;Fraction17_RNase_Rep1;Fraction17_Ctrl_Rep2;Fraction17_RNase_Rep2;Fraction17_Ctrl_Rep3;Fraction17_RNase_Rep3;Fraction18_Ctrl_Rep1;Fraction18_RNase_Rep1;Fraction18_Ctrl_Rep2;Fraction18_RNase_Rep2;Fraction18_Ctrl_Rep3;Fraction18_RNase_Rep3;Fraction19_Ctrl_Rep1;Fraction19_RNase_Rep1;Fraction19_Ctrl_Rep2;Fraction19_RNase_Rep2;Fraction19_Ctrl_Rep3;Fraction19_RNase_Rep3;Fraction20_Ctrl_Rep1;Fraction20_RNase_Rep1;Fraction20_Ctrl_Rep2;Fraction20_RNase_Rep2;Fraction20_Ctrl_Rep3;Fraction20_RNase_Rep3;Fraction21_Ctrl_Rep1;Fraction21_RNase_Rep1;Fraction21_Ctrl_Rep2;Fraction21_RNase_Rep2;Fraction21_Ctrl_Rep3;Fraction21_RNase_Rep3;Fraction22_Ctrl_Rep1;Fraction22_RNase_Rep1;Fraction22_Ctrl_Rep2;Fraction22_RNase_Rep2;Fraction22_Ctrl_Rep3;Fraction22_RNase_Rep3;Fraction23_Ctrl_Rep1;Fraction23_RNase_Rep1;Fraction23_Ctrl_Rep2;Fraction23_RNase_Rep2;Fraction23_Ctrl_Rep3;Fraction23_RNase_Rep3;Fraction24_Ctrl_Rep1;Fraction24_RNase_Rep1;Fraction24_Ctrl_Rep2;Fraction24_RNase_Rep2;Fraction24_Ctrl_Rep3;Fraction24_RNase_Rep3;Fraction25_Ctrl_Rep1;Fraction25_RNase_Rep1;Fraction25_Ctrl_Rep2;Fraction25_RNase_Rep2;Fraction25_Ctrl_Rep3;Fraction25_RNase_Rep3
AHNK_HUMAN;1776.21;6255.75;7425.759;7407.75;8496.14;119191.498;30490.92;26878.59;19694.137;792765.57;37069.807;23567.007;232847.734;341663.963;345500.036;419150.49;342938.231;3399262.6;1961500.29;2387231.25;2458499.84;2730066.074;2137994.569;15757089.07;3247196.86;1728309.62;1621603.16;3100541.53;863097.03;5093331.7;29985160.6;16304876.95;9561746.26;120489566.4;7414905.967;34716019.15;72578329.3;204834437.3;32808847.23;86855244.58;34425650.48;117029017.7;102788844;107389271;242001742.1;684140300.4;116245392;567613073.3;101541638.1;93001534.07;89245292.43;119838945;116387421.9;199502066.8;359314274.7;101519244.8;239294941.7;165121992.5;292722036.7;143753312.1;263703392.1;54224984.65;253782559.7;92247184.08;265919269.6;32346131.78;140834181.2;26328766.11;116285232.8;48155829.07;147944498.3;31081311.38;87242277.86;13392346.88;105355445.2;25598106.53;90422354.28;18497537.62;16389444.05;2597963.97;18566157.99;4566376.489;16138466.38;3942566.222;13368367.5;1752892.668;14771788.37;2402078.801;14975913.84;2644323.45;5665862.35;640752.981;6217376.11;876585.293;5594496.63;879740.008;11694718.96;735343.176;10452124.09;1238137.075;9612770.48;985160.063;9302329.56;650666.105;9071091.44;404497.159;7922364.8;440112.809;6534923.024;276640.86;5957868.556;661636.672;5306930.63;567426.337;3578117.9;180985.917;2866922.31;420915.911;2853555.17;273746.533;1507530.88;73473.56;1333346.75;80263.181;1252759.748;124380.886;497357.69;39799.288;438574.52;53427.979;475332.97;33444.078;149444.25;43985.97;120595.85;29044.98;107256.18;24831.443;189987.07;116322.42;172522.03;94552.753;146041.94;65998.966;256325.4;498448.65;353219.08;159039.648;272775.5;237087.217
PRKDC_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40151.4;9252.49;7159.94;8300.97;6823.79;11372.9;20758.47;17254.92;155946;150277.3;20192.64;141846.7;483465.2;1134180.3;404304.8;296473.34;643445.8;758134.7;10284530.41;18558083.84;4161949.06;6143479.72;4863967.8;8255095.04;15252277.45;22163707.96;13745604.88;19996571.06;13940364.7;2135429.995;29658798.1;38348226.62;22505256.85;31969620.05;28892953.02;36286613.44;34459379.41;35064758.04;36985898.94;40822716.09;36214620.97;43862900.88;16262192.01;15291184.06;17477703.63;20642159.61;17633995.56;21798020.54;14266522.6;13173727.08;16428184.59;19408488.24;16798427.23;18985390.66;9278221.93;6496861.655;10455849.41;10256053.24;11518581.58;11223573.9;18462913.19;6424542.948;16789493.63;11585417.82;15213309.93;10052125.24;11892752.09;3254757.859;10831796;4027440.844;10256933.49;4349468.672;17111752.85;1272843.773;16739023.48;2606050.054;12905149.81;2281937.03;13535935.42;647846.458;11179684.46;1470511.299;10983373.05;980395.685;9715207.327;470264.12;8777792.784;489283.426;8638766.942;645960.583;5862433.923;315214.84;5520192.638;467116.61;5792013.127;305091.269;3104472.717;686767.71;2882041.36;412394.359;2568712.07;332098.043;1887937.024;1021500.488;1845419.651;532986.715;1493928.641;475436.271;1221103.867;4109356.718;1872708.528;1207612.128;1498187.69;2013482.36
ACTB_HUMAN;65737.047;138005.097;89362.625;96477.12;98622.277;1299770.5;468874.19;289579.524;342999.583;6704608.74;707563.777;325361.996;5214177.481;4613869.81;6175016.079;4448257.72;8453457.757;25366969.37;31093830.3;16920821.82;44083131.45;21932636.5;34252272.26;88748055.46;89466065.81;7600320.21;15362547.26;39443155.9;18031453.83;75020256.41;138934295.2;11248813.33;21004370.4;71936407.18;21388112.58;65843310.85;213272058.2;19216043.9;21778895.05;17627969.47;22107310.26;17476450.79;22848321.2;5360351.644;202511332.5;106678344.1;20567709.62;100309642.3;47014277.9;30119505.62;56644301.85;23004241.68;76260844.68;51445580.22;87899645.71;55526546.84;49166311.44;50948170.7;65817016.54;46126169.33;54726475.42;47964689.17;55593050.08;51387181.97;56646652.29;9882134.841;45454727.78;48262100.8;33238967.25;49768823.98;47623709.46;47476262.09;40070061.23;41002822.05;46177936.41;48436815.2;43634415.6;48326047.73;21711474.4;19740470.96;22147488.91;24000149.11;24383423.07;24131288.77;18995139.38;15974881.26;18552653.51;17258751.48;19971387.78;16563679.65;15433450.57;11943434.13;14617281.68;14049258.6;17944224.6;14404132.9;23108351.48;13302380.73;19613693.55;14364538.7;25761420.37;14268438.17;32665287.45;64187177.65;27286032.1;9203347.898;49606063.89;9525112.059;58461301.68;28970767.7;35247988.42;63417866.43;66595918.26;69001332.04;95425333.6;32989358.36;47906892.29;61079469.69;53057256.1;44536259.63;36478611.06;18885519.69;37467061.45;19131593.76;24760709.47;32923837.76;18854869.42;11629148.33;7298612.622;12060651.24;12445301.93;7890150.42;4544090.706;16440428.06;2777587.14;8202854.303;3834129.736;6243071.613;6134612.283;15573333.09;2005289.314;11273273.95;1748283.437;8222813.485;2990098.198;29505856.8;2469360.712;16000699.07;2787174.578;13391291.81
ACTG_HUMAN;65737.047;138005.097;89362.625;96477.12;98622.277;1299770.5;468874.19;289579.524;342999.583;6704608.74;707563.777;325361.996;5214177.481;4613869.81;6175016.079;4448257.72;8453457.757;25366969.37;31093830.3;16920821.82;44083131.45;21932636.5;34252272.26;88748055.46;89466065.81;7600320.21;15362547.26;39443155.9;18031453.83;75020256.41;138934295.2;11248813.33;21004370.4;71936407.18;21388112.58;65843310.85;213272058.2;19216043.9;21778895.05;17627969.47;22107310.26;17476450.79;22848321.2;5360351.644;202511332.5;106678344.1;20567709.62;100309642.3;47014277.9;30119505.62;56644301.85;23004241.68;76260844.68;51445580.22;87899645.71;55526546.84;49166311.44;50948170.7;65817016.54;46126169.33;54726475.42;47964689.17;55593050.08;51387181.97;56646652.29;9882134.841;45454727.78;48262100.8;33238967.25;49768823.98;47623709.46;47476262.09;40070061.23;41002822.05;46177936.41;48436815.2;43634415.6;48326047.73;21711474.4;19740470.96;22147488.91;24000149.11;24383423.07;24131288.77;18995139.38;15974881.26;18552653.51;17258751.48;19971387.78;16563679.65;15433450.57;11943434.13;14617281.68;14049258.6;17944224.6;14404132.9;23108351.48;13302380.73;19613693.55;14364538.7;25761420.37;14268438.17;32665287.45;64187177.65;27286032.1;9203347.898;49606063.89;9525112.059;58461301.68;28970767.7;35247988.42;63417866.43;66595918.26;69001332.04;95425333.6;32989358.36;47906892.29;61079469.69;53057256.1;44536259.63;36478611.06;18885519.69;37467061.45;19131593.76;24760709.47;32923837.76;18854869.42;11629148.33;7298612.622;12060651.24;12445301.93;7890150.42;4544090.706;16440428.06;2777587.14;8202854.303;3834129.736;6243071.613;6134612.283;15573333.09;2005289.314;11273273.95;1748283.437;8222813.485;2990098.198;29505856.8;2469360.712;16000699.07;2787174.578;13391291.81
ACTC_HUMAN;62837.121;130559.912;82436.416;93029.468;95232.417;1156854.3;452098.041;285742.957;321420.853;6179713.34;670228.108;304265.492;4354772.171;3928851.326;5138288.675;3685991.432;7039077.517;20529321.51;27499956.95;15499712.38;39052163.45;20144808.98;30923320.21;79687975.61;81805963.64;7004602.529;14241237.31;34056002.25;16610527.64;68314072.4;129560787.8;10644798.18;19551097.15;67953977.88;20196546.88;61451083.26;189855442.8;17626974.18;20024371.51;16013563.85;20021242.02;16325147.89;22148248.02;5163141.059;195277252.8;103757378;20003726.74;97870735.04;45459389.91;29184731.94;54861978.81;21419813.57;73785782.03;50489946.3;83089690.11;52669060.94;46267328.44;48103573.1;62019835.74;43717916.21;50924752.23;44304803;51306689.15;47172566.36;52435822.67;9319874.703;43393203.28;45607695.43;31388773.26;46902447.95;45670150.94;44832983.45;37851890.62;39342159.37;44155267.95;46549410.91;41747949.16;46674833.91;20812533.43;18906482.62;21144539.86;22764880.65;23281188.68;23198231.72;17600336.94;14717669.38;17147181.73;15932179.7;18496521.83;15256653.1;14250968.98;10890475.15;13335515.89;12912547.15;16396087.61;13067895.37;21304533.65;12281628.03;18223818.74;13298791.26;23868126.68;13334487.1;33435727.88;66334700.42;27568529.15;9224455.132;50578230.21;9556544.53;57033409.57;27523249.62;34339132.79;61221098.49;64901633.79;66708685;92801937.53;31915348.22;46607119.11;59198387.24;51476515.23;42717940.15;34114524.74;17626668.2;35426213.63;17885257.37;23303782.16;30569124.05;16868420;10422072.06;6413719.762;10746267.51;11031193.04;6975392.15;4274910.203;15614938.79;2604375.097;7646760.753;3613877.834;5781977.998;5797404.257;14826709.83;1900079.407;10637689.56;1686582.46;7670437.476;2696821.042;25943959.4;2145643.163;14000595.46;2471251.201;11304332.24
ACTS_HUMAN;62837.121;130559.912;82436.416;93029.468;95232.417;1156854.3;452098.041;285742.957;321420.853;6179713.34;670228.108;304265.492;4354772.171;3928851.326;5138288.675;3685991.432;7039077.517;20529321.51;27499956.95;15499712.38;39052163.45;20144808.98;30923320.21;79687975.61;81805963.64;7004602.529;14241237.31;34056002.25;16610527.64;68314072.4;129560787.8;10644798.18;19551097.15;67953977.88;20196546.88;61451083.26;189855442.8;17626974.18;20024371.51;16013563.85;20021242.02;16325147.89;22148248.02;5163141.059;195277252.8;103757378;20003726.74;97870735.04;45459389.91;29184731.94;54861978.81;21419813.57;73785782.03;50489946.3;83089690.11;52669060.94;46267328.44;48103573.1;62019835.74;43717916.21;50924752.23;44304803;51306689.15;47172566.36;52435822.67;9319874.703;43393203.28;45607695.43;31388773.26;46902447.95;45670150.94;44832983.45;37851890.62;39342159.37;44155267.95;46549410.91;41747949.16;46674833.91;20812533.43;18906482.62;21144539.86;22764880.65;23281188.68;23198231.72;17600336.94;14717669.38;17147181.73;15932179.7;18496521.83;15256653.1;14250968.98;10890475.15;13335515.89;12912547.15;16396087.61;13067895.37;21304533.65;12281628.03;18223818.74;13298791.26;23868126.68;13334487.1;33435727.88;66334700.42;27568529.15;9224455.132;50578230.21;9556544.53;57033409.57;27523249.62;34339132.79;61221098.49;64901633.79;66708685;92801937.53;31915348.22;46607119.11;59198387.24;51476515.23;42717940.15;34114524.74;17626668.2;35426213.63;17885257.37;23303782.16;30569124.05;16868420;10422072.06;6413719.762;10746267.51;11031193.04;6975392.15;4274910.203;15614938.79;2604375.097;7646760.753;3613877.834;5781977.998;5797404.257;14826709.83;1900079.407;10637689.56;1686582.46;7670437.476;2696821.042;25943959.4;2145643.163;14000595.46;2471251.201;11304332.24
NUCL_HUMAN;245790.45;131631.78;228390.701;143404.11;234347.133;375159.18;77925.52;87250.307;46215.575;650379.04;104695.795;71337.614;337365.44;470036.8;510067.71;601243.66;436210.38;1355691.93;1379901.04;1472450.28;1286077.97;1527678.96;1187736.61;3712971.2;3205137.36;593200.958;1978851.6;2152236.74;954584.994;2982761.62;37978160.3;8429926.312;18379168.96;21638418.25;13146777.71;18707859.78;67053709.89;42301686.85;45782698.13;32308454.98;60059858.75;39497469.2;50872957.11;28563728.17;57677397.14;56751828.07;62206906.1;46361592.29;27557424.84;85272671.75;28857639.95;58664619.94;33103782.13;111156487.1;16150877.19;83898792.58;13650703.84;87019950.69;15989750.47;97313395.11;14159800.57;88984781.37;14056653.67;93185722.81;13787897.8;86560933.05;9908725.13;71523784.8;8223758.68;76984607.1;11177311.69;76956660.9;11501630.19;60266938.49;12900276.71;71335709.32;11683154.66;70777533.75;12105959.17;49946575.7;12786198.59;54634605.51;13039167.51;59234552.38;33098042.88;41301109.78;38976801.8;38615316.27;39559587.72;42600738.68;56355442.38;22139780.13;53438267.48;24192866.39;57604524.21;25635212.34;50152189.96;20044582.45;46890328.83;23154098.68;46672288.18;21356740.79;110092716.7;13821302.08;136667080;13937181.92;131234573.4;14271676.51;207271974.4;8763190.386;186872611.6;10973063.08;161424321.4;8921336.945;139614094.2;9689290.465;124332505.3;10816702.17;118488116.3;9726140.944;100688367.1;10199394.2;91116377.42;10215681.68;95691901.74;11179475;36051430.61;8111356.179;34193758.42;7340140.488;35661730.63;4397533.829;14118825.35;13065079.28;12155817.83;8148595.467;9474702.477;6697250.46;10147910.58;20139639.67;8792693.2;20139252.91;6624121.982;11336808.97;8207198.446;21719953.93;10507027.75;11778360.53;9394206.11;10155977.99
ACTA_HUMAN;62837.121;130559.912;82436.416;93029.468;95232.417;1156854.3;452098.041;285742.957;321420.853;6179713.34;670228.108;304265.492;4274046.971;3910720.976;5075428.815;3641716.262;6946032.017;20112471.31;27415369.55;15495550.88;38993844.05;20139403.3;30893036.31;79534185.61;81304168.14;6996679.029;14193250.41;32838637.25;16562299.6;67870330;128902452.8;10644798.18;19498088.95;67828156.88;20160415.88;60445613.26;189336164.8;17601299.68;19982425.71;15998475.55;20003211.42;16310675.79;22143412.16;5153904.309;193971431;103350688.4;19995268.52;97641490.64;45188427.91;29064321.84;54740996.81;21009868.57;73660017.93;50319829.3;81556882.11;52086048.44;45656699.14;47689196.2;61352688.04;43517920.51;50580864.03;44022801.9;50800981.15;46414957.36;52127586.17;9312318.683;43282381.28;45540933.93;31294085.26;46776579.95;45578461.84;44796704.15;37461190.62;39270913.87;43998933.95;46452494.81;41694452.46;46620987.41;20533675.43;18896383.22;20988066.86;22419101.65;23216909.08;23020931.72;17592105;14642200.48;17020090.73;15818731.7;18456278.53;15164623.6;14210827.78;10837456.85;13277996.19;12890968.35;16372776.81;13016082.27;21080448.65;12268943.53;18198072.44;13279698.46;23805377.08;13290546.3;31205417.88;66093007.42;24545739.15;9085959.132;48120800.21;9415841.53;56554945.57;27287648.62;34146213.79;61020092.49;64253337.79;65817313;92168141.53;31835652.72;46494704.11;59049358.24;51308510.23;42541506.15;34114524.74;17626668.2;35426213.63;17885257.37;23303782.16;30569124.05;16868420;10422072.06;6413719.762;10746267.51;11031193.04;6975392.15;4274910.203;15614938.79;2604375.097;7646760.753;3613877.834;5781977.998;5797404.257;14826709.83;1900079.407;10637689.56;1686582.46;7670437.476;2696821.042;25943959.4;2145643.163;14000595.46;2471251.201;11304332.24
ACTH_HUMAN;62837.121;130559.912;82436.416;93029.468;95232.417;1156854.3;452098.041;285742.957;321420.853;6179713.34;670228.108;304265.492;4274046.971;3910720.976;5075428.815;3641716.262;6946032.017;20112471.31;27415369.55;15495550.88;38993844.05;20139403.3;30893036.31;79534185.61;81304168.14;6996679.029;14193250.41;32838637.25;16562299.6;67870330;128902452.8;10644798.18;19498088.95;67828156.88;20160415.88;60445613.26;189336164.8;17601299.68;19982425.71;15998475.55;20003211.42;16310675.79;22143412.16;5153904.309;193971431;103350688.4;19995268.52;97641490.64;45188427.91;29064321.84;54740996.81;21009868.57;73660017.93;50319829.3;81556882.11;52086048.44;45656699.14;47689196.2;61352688.04;43517920.51;50580864.03;44022801.9;50800981.15;46414957.36;52127586.17;9312318.683;43282381.28;45540933.93;31294085.26;46776579.95;45578461.84;44796704.15;37461190.62;39270913.87;43998933.95;46452494.81;41694452.46;46620987.41;20533675.43;18896383.22;20988066.86;22419101.65;23216909.08;23020931.72;17592105;14642200.48;17020090.73;15818731.7;18456278.53;15164623.6;14210827.78;10837456.85;13277996.19;12890968.35;16372776.81;13016082.27;21080448.65;12268943.53;18198072.44;13279698.46;23805377.08;13290546.3;31205417.88;66093007.42;24545739.15;9085959.132;48120800.21;9415841.53;56554945.57;27287648.62;34146213.79;61020092.49;64253337.79;65817313;92168141.53;31835652.72;46494704.11;59049358.24;51308510.23;42541506.15;34114524.74;17626668.2;35426213.63;17885257.37;23303782.16;30569124.05;16868420;10422072.06;6413719.762;10746267.51;11031193.04;6975392.15;4274910.203;15614938.79;2604375.097;7646760.753;3613877.834;5781977.998;5797404.257;14826709.83;1900079.407;10637689.56;1686582.46;7670437.476;2696821.042;25943959.4;2145643.163;14000595.46;2471251.201;11304332.24
CPSM_HUMAN;0;0;0;0;0;0;16880.24;7214.851;25035.265;265867.26;17901.254;6040.772;130614.361;93357.002;188714.51;131342.098;143314.064;1258580.8;649677.75;382960.311;519065.76;486471.692;568271.433;5525206.5;508860.1;379314.63;73655.662;325471.06;102542.09;639630.1;19389668.1;1910255.758;2956365.58;53565561.4;3576222.249;8228034.84;123400324.2;36391924.88;5711540.996;8065443.797;11478455.46;11086025.1;18905322.15;13445944.7;287115517.8;319707979.3;13992621.64;246596798;148445763.1;83292290.34;162403371.3;103205482.1;230869283;220390047.9;165596774.6;76106200.59;79351006.91;109782159.1;123113891.3;94253726.91;40146662.34;29011876.62;45808189.7;54712769.53;46770659.24;5842876.04;18376688.79;19105879.59;19137785.83;31366983.13;24157155.47;20147045.57;11098259.88;9533499.12;14589630.48;16160990.9;13065165.75;12013481.09;3725921.06;3125497.17;4306444.02;5653086.42;4234093.84;4586322.6;2564238.78;2182045.97;2936894.708;3001409.808;3432893.86;2972991.14;1678050.355;1186469.637;2013690.226;1727748.123;2171450.674;1825909.34;2356233.43;1029275.555;2402206.54;1709206.13;2157907.33;1322562.3;2170829.23;945806.031;2057533.11;882488.361;2046787.02;891729.804;2141340.53;303241.949;1947145.95;702745.77;1521565.87;539137.797;1586600.76;187690.3;1210588.01;432916.318;1273502.63;257285.055;1159453.197;152074.075;1136677.333;176367.641;1058749.567;175459.842;609925.329;79535.423;520178.02;132711.488;571328.607;76692.871;222148.021;115074.78;169039.52;67357.458;182594.19;56037.02;278820.245;287246.583;253028.25;142984.284;239295.213;123330.05;350750.99;1204370.314;566406.479;453780.302;447575.508;629433.818
